,x,y,PAM50,Cohort,Class,color
111,9.79306801311983,6.39484623458124,Her2,Yau,Her2_Yau,#33A02C
113,-10.8231762398565,-10.4626079703553,Normal,Yau,Normal_Yau,#6A3D9A
118,-10.74046994787,4.73159843769831,LumA,Yau,LumA_Yau,#E31A1C
12,15.6287767800035,-7.78088710401603,Basal,Yau,Basal_Yau,#1F78B4
120,-24.0760311813095,3.40617156837255,LumA,Yau,LumA_Yau,#E31A1C
122,-24.207806894001,0.240284303854021,LumA,Yau,LumA_Yau,#E31A1C
123,-18.7977582467015,-8.82681491178833,LumA,Yau,LumA_Yau,#E31A1C
124,-23.2672222724423,3.23108897066886,LumA,Yau,LumA_Yau,#E31A1C
126,-3.61930497862379,9.13761121579693,LumB,Yau,LumB_Yau,#FF7F00
13,4.01231134570564,15.228866271538,LumB,Yau,LumB_Yau,#FF7F00
131,26.0917394689691,1.32449912296022,Basal,Yau,Basal_Yau,#1F78B4
133,-24.5214109348132,-10.1942836788992,LumA,Yau,LumA_Yau,#E31A1C
138,-13.6886014340619,-15.2211311817139,Normal,Yau,Normal_Yau,#6A3D9A
139,-6.80350763440396,0.881005878736821,Her2,Yau,Her2_Yau,#33A02C
14,-23.3747722177223,0.84544498767888,LumA,Yau,LumA_Yau,#E31A1C
140,-14.8336601527537,9.98795443738042,LumA,Yau,LumA_Yau,#E31A1C
141,26.9297345134047,-12.242521713871,Her2,Yau,Her2_Yau,#33A02C
142,-3.00874994527152,-20.8510703498649,Normal,Yau,Normal_Yau,#6A3D9A
144,26.1299672227713,-4.70693201552573,Basal,Yau,Basal_Yau,#1F78B4
148,-9.16029134235588,17.4821198905966,LumA,Yau,LumA_Yau,#E31A1C
153,0.448072914794403,-0.401371180736968,LumB,Yau,LumB_Yau,#FF7F00
154,-29.8837781277434,2.42782176917922,LumA,Yau,LumA_Yau,#E31A1C
155,-12.2256704096145,5.78640959655258,LumA,Yau,LumA_Yau,#E31A1C
164,31.9969571170253,-9.37697777752058,Basal,Yau,Basal_Yau,#1F78B4
165,14.8710278653671,9.98422836725927,LumB,Yau,LumB_Yau,#FF7F00
167,-25.4941528278142,-1.84900089737361,LumA,Yau,LumA_Yau,#E31A1C
17,-14.6768068125479,-3.64428273905552,LumA,Yau,LumA_Yau,#E31A1C
175,27.881378538834,2.77012611197816,Basal,Yau,Basal_Yau,#1F78B4
179,7.18922924591961,-18.0447506847171,Basal,Yau,Basal_Yau,#1F78B4
181,11.7590060587564,-6.21273155299907,Her2,Yau,Her2_Yau,#33A02C
183,-21.1636450911229,-4.47811690814285,LumA,Yau,LumA_Yau,#E31A1C
185,-12.8920810989065,-0.903056834453846,LumA,Yau,LumA_Yau,#E31A1C
189,13.788910334574,-14.0948182296955,Basal,Yau,Basal_Yau,#1F78B4
191,-32.7986481793879,-2.68009857739702,LumA,Yau,LumA_Yau,#E31A1C
193,-22.2765222998426,-15.0913538269116,Normal,Yau,Normal_Yau,#6A3D9A
199,3.49553088035657,-0.559068914893039,Her2,Yau,Her2_Yau,#33A02C
201,-20.412439331199,-4.7949580783111,Normal,Yau,Normal_Yau,#6A3D9A
202,16.7916551713496,-5.98986709988605,Basal,Yau,Basal_Yau,#1F78B4
205,-0.760789700606728,-17.6815396557008,Basal,Yau,Basal_Yau,#1F78B4
207,-20.0313174195891,10.5417809185703,LumA,Yau,LumA_Yau,#E31A1C
212,21.7220851477474,-22.8755806091442,Basal,Yau,Basal_Yau,#1F78B4
214,-19.7048456029042,6.79883783838352,LumA,Yau,LumA_Yau,#E31A1C
215,32.084600610384,-0.589232178876638,Basal,Yau,Basal_Yau,#1F78B4
219,-18.7568887894556,-23.4122984035956,Normal,Yau,Normal_Yau,#6A3D9A
221,-18.9950359664253,-1.88104426757048,LumA,Yau,LumA_Yau,#E31A1C
222,31.244530730523,1.05873922162017,Basal,Yau,Basal_Yau,#1F78B4
224,-2.31347537240351,3.99152337421583,LumB,Yau,LumB_Yau,#FF7F00
226,28.7395407021945,-6.89500344497129,Basal,Yau,Basal_Yau,#1F78B4
227,0.571473598759774,11.7408523737239,LumB,Yau,LumB_Yau,#FF7F00
228,26.1350367511872,0.0123208971352748,Basal,Yau,Basal_Yau,#1F78B4
229,11.474982084712,7.1317611624381,Her2,Yau,Her2_Yau,#33A02C
230,15.550773377064,-18.6625549520849,Basal,Yau,Basal_Yau,#1F78B4
231,-9.74175976182429,15.0449265211181,LumA,Yau,LumA_Yau,#E31A1C
